state,death raw,population raw,Death_Rate_per_1000
Johor,26951,4020000,6.704228856
Kedah,18457,2151700,8.577868662
Kelantan,13926,1812300,7.684158252
Melaka,7083,1004500,7.051269288
Negeri Sembilan,9165,1204200,7.610861983
Pahang,10366,1601500,6.472681861
Perak,21303,2515800,8.467684236
Perlis,2234,287600,7.767732962
Pulau Pinang,13978,1740000,8.033333333
Sabah,18873,3412600,5.530387388
Sarawak,17596,2465600,7.136599611
Selangor,42051,7014700,5.994696851
Terengganu,8469,1170700,7.234133424
Kuala Lumpur,13334,1964000,6.789205703
Labuan,517,96000,5.385416667
Putrajaya,266,115200,2.309027778
