sex,age_group,population,total_population
female,0-9,2472.2,2472200
female,10-19,2582.4,2582400
female,20-29,2629.7,2629700
female,30-39,2633.4,2633400
female,40-49,1963.7,1963700
female,50-59,1513.8,1513800
female,60-69,1081.3,1081300
female,70-79,518.4,518400
female,80+,180.1,180100
male,0-9,2613.3,2613300
male,10-19,2818.3,2818300
male,20-29,3114.4,3114400
male,30-39,3010.3,3010300
male,40-49,2173.5,2173500
male,50-59,1552.3,1552300
male,60-69,1078.5,1078500
male,70-79,480.3,480300
male,80+,159.8,159800
